payment_id,timestamp,event_type,failure_code,diagnosis,action_taken,retry_count,compliance_check_result,llm_reasoning,resulting_state
pay_1Ztpdp4K8ffUF0,2026-08-08 14:04:00,OUTBOUND_NUDGE_1,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Sent nudge #1 (Helpful English),0,PASS,AI Decision: Transient network timeout. Reassuring customer in professional English with manual backup link. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_1Ztpdp4K8ffUF0,2026-08-08 14:35:00,MOCK_PAYMENT_ATTEMPT,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Processed payment authorization via link,1,PASS,Customer clicked payment link and authorized transaction. Success.,RECOVERED
pay_vbLJoLoaeTOdoe,2026-08-24 09:43:00,INGESTION,INSUFFICIENT_FUNDS,Cause: Customer's bank account has insufficient balance. | Plan: Wait for salary/funding (or schedule retry in 48h) + offer instant UPI payment link.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_vbLJoLoaeTOdoe,2026-08-24 15:43:00,OUTBOUND_NUDGE_1,INSUFFICIENT_FUNDS,Cause: Customer's bank account has insufficient balance. | Plan: Wait for salary/funding (or schedule retry in 48h) + offer instant UPI payment link.,Sent nudge #1 (Professional English),0,PASS,AI Decision: Balance issue detected. Professional English outreach notifying customer of auto-debit failure with multi-method payment link. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_vbLJoLoaeTOdoe,2026-08-24 17:20:00,MOCK_PAYMENT_ATTEMPT,INSUFFICIENT_FUNDS,Cause: Customer's bank account has insufficient balance. | Plan: Wait for salary/funding (or schedule retry in 48h) + offer instant UPI payment link.,Processed payment authorization via link,1,PASS,Customer clicked payment link and authorized transaction. Success.,RECOVERED
pay_PPgdzUvZ3gpmmI,2026-08-06 15:00:00,INGESTION,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_PPgdzUvZ3gpmmI,2026-08-06 18:00:00,OUTBOUND_NUDGE_1,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Sent nudge #1 (Professional English),0,PASS,AI Decision: Hard failure. Card is expired. Informing customer directly in professional English to securely link their new card. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_PPgdzUvZ3gpmmI,2026-08-06 19:46:00,NO_RESPONSE,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,No reply detected from customer within window,0,PASS,Nudge #1 ignored by customer,ENGAGEMENT_STARTED
pay_PPgdzUvZ3gpmmI,2026-08-07 13:00:00,OUTBOUND_NUDGE_2,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Sent nudge #2 (Polite English),0,PASS,AI Decision: Mock mode follow-up. Customer responding about expired card. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_PPgdzUvZ3gpmmI,2026-08-07 14:30:00,CUSTOMER_REPLY,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Customer replied: 'Stop messages / Unsubscribe',0,PASS,User revoked consent. Immediate stop rule active.,ESCALATED
pay_yq7YYDsBS9UYJQ,2026-08-08 15:07:00,INGESTION,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_yq7YYDsBS9UYJQ,2026-08-08 17:07:00,OUTBOUND_NUDGE_1,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Sent nudge #1 (Helpful English),0,PASS,AI Decision: Transient network timeout. Reassuring customer in professional English with manual backup link. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_yq7YYDsBS9UYJQ,2026-08-08 18:59:00,NO_RESPONSE,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",No reply detected from customer within window,0,PASS,Nudge #1 ignored by customer,ENGAGEMENT_STARTED
pay_yq7YYDsBS9UYJQ,2026-08-09 12:00:00,OUTBOUND_NUDGE_2,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Sent nudge #2 (Polite English),0,PASS,AI Decision: Mock mode follow-up. Customer responding to timeout. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_yq7YYDsBS9UYJQ,2026-08-09 12:34:00,NO_RESPONSE,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",No reply detected from customer within window,0,PASS,Nudge #2 ignored by customer,ENGAGEMENT_STARTED
pay_yq7YYDsBS9UYJQ,2026-08-10 12:34:00,MOCK_PAYMENT_ATTEMPT,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Automated retry triggered (final attempt),1,PASS,Automated system retry failed. Retry limit reached.,ENGAGEMENT_STARTED
pay_yq7YYDsBS9UYJQ,2026-08-10 14:34:00,OUTBOUND_NUDGE_3,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Sent nudge #3 (Polite English),1,PASS,AI Decision: Mock mode follow-up. Customer responding to timeout. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_yq7YYDsBS9UYJQ,2026-08-10 15:00:00,NO_RESPONSE,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",No reply detected from customer within window,1,PASS,Nudge #3 ignored by customer,ENGAGEMENT_STARTED
pay_yq7YYDsBS9UYJQ,2026-08-11 15:00:00,MOCK_PAYMENT_ATTEMPT,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Automated retry triggered (final attempt),2,PASS,Automated system retry failed. Retry limit reached.,ENGAGEMENT_STARTED
pay_yq7YYDsBS9UYJQ,2026-08-11 15:00:00,EXHAUSTED,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Loop safety limit reached,2,PASS,Max communication cycle reached without customer payment.,EXHAUSTED
pay_84KpLMcNfAQLKH,2026-08-12 13:10:00,INGESTION,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_84KpLMcNfAQLKH,2026-08-12 17:10:00,OUTBOUND_NUDGE_1,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Sent nudge #1 (Professional English),0,PASS,AI Decision: Hard failure. Card is expired. Informing customer directly in professional English to securely link their new card. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_84KpLMcNfAQLKH,2026-08-12 18:47:00,MOCK_PAYMENT_ATTEMPT,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Processed payment authorization via link,1,PASS,Customer clicked payment link and authorized transaction. Success.,RECOVERED
pay_C1ITtNZPHaQ0Jt,2026-08-02 09:21:00,INGESTION,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_C1ITtNZPHaQ0Jt,2026-08-02 11:21:00,OUTBOUND_NUDGE_1,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Sent nudge #1 (Professional English),0,PASS,AI Decision: Hard failure. Card is expired. Informing customer directly in professional English to securely link their new card. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_C1ITtNZPHaQ0Jt,2026-08-02 13:09:00,CUSTOMER_REPLY,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Customer replied: 'Stop messages / Unsubscribe',0,PASS,User revoked consent. Immediate stop rule active.,ESCALATED
pay_XiOqkVCJTBJahe,2026-08-24 11:59:00,INGESTION,MANDATE_REVOKED,Cause: Customer has revoked the authorization mandate directly with their bank. | Plan: Halt all automatic billing. Notify the customer and offer a secure link to register a new mandate.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_XiOqkVCJTBJahe,2026-08-24 13:59:00,OUTBOUND_NUDGE_1,MANDATE_REVOKED,Cause: Customer has revoked the authorization mandate directly with their bank. | Plan: Halt all automatic billing. Notify the customer and offer a secure link to register a new mandate.,Sent nudge #1 (Respectful English),0,PASS,AI Decision: Mandate cancelled. Informing customer in professional English and providing instant reactivation link. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_XiOqkVCJTBJahe,2026-08-24 15:07:00,MOCK_PAYMENT_ATTEMPT,MANDATE_REVOKED,Cause: Customer has revoked the authorization mandate directly with their bank. | Plan: Halt all automatic billing. Notify the customer and offer a secure link to register a new mandate.,Processed payment authorization via link,1,PASS,Customer clicked payment link and authorized transaction. Success.,RECOVERED
pay_7p3kZZl4AblV7v,2026-08-13 14:17:00,INGESTION,MANDATE_REVOKED,Cause: Customer has revoked the authorization mandate directly with their bank. | Plan: Halt all automatic billing. Notify the customer and offer a secure link to register a new mandate.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_7p3kZZl4AblV7v,2026-08-13 18:17:00,OUTBOUND_NUDGE_1,MANDATE_REVOKED,Cause: Customer has revoked the authorization mandate directly with their bank. | Plan: Halt all automatic billing. Notify the customer and offer a secure link to register a new mandate.,Sent nudge #1 (Respectful English),0,PASS,AI Decision: Mandate cancelled. Informing customer in professional English and providing instant reactivation link. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_7p3kZZl4AblV7v,2026-08-13 19:52:00,NO_RESPONSE,MANDATE_REVOKED,Cause: Customer has revoked the authorization mandate directly with their bank. | Plan: Halt all automatic billing. Notify the customer and offer a secure link to register a new mandate.,No reply detected from customer within window,0,PASS,Nudge #1 ignored by customer,ENGAGEMENT_STARTED
pay_7p3kZZl4AblV7v,2026-08-14 11:00:00,OUTBOUND_NUDGE_2,MANDATE_REVOKED,Cause: Customer has revoked the authorization mandate directly with their bank. | Plan: Halt all automatic billing. Notify the customer and offer a secure link to register a new mandate.,Sent nudge #2 (Polite English),0,PASS,AI Decision: Mock mode follow-up. Customer responding to mandate cancellation. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_7p3kZZl4AblV7v,2026-08-14 12:45:00,CUSTOMER_REPLY,MANDATE_REVOKED,Cause: Customer has revoked the authorization mandate directly with their bank. | Plan: Halt all automatic billing. Notify the customer and offer a secure link to register a new mandate.,Customer replied: 'Stop messages / Unsubscribe',0,PASS,User revoked consent. Immediate stop rule active.,ESCALATED
pay_3e9XrwPGzR1Iv8,2026-08-24 20:42:00,INGESTION,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_3e9XrwPGzR1Iv8,2026-08-25 12:00:00,OUTBOUND_NUDGE_1,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Sent nudge #1 (Helpful English),0,PASS,AI Decision: Transient network timeout. Reassuring customer in professional English with manual backup link. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_3e9XrwPGzR1Iv8,2026-08-25 12:25:00,NO_RESPONSE,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",No reply detected from customer within window,0,PASS,Nudge #1 ignored by customer,ENGAGEMENT_STARTED
pay_3e9XrwPGzR1Iv8,2026-08-25 17:25:00,OUTBOUND_NUDGE_2,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Sent nudge #2 (Polite English),0,PASS,AI Decision: Mock mode follow-up. Customer responding to timeout. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_3e9XrwPGzR1Iv8,2026-08-25 18:15:00,NO_RESPONSE,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",No reply detected from customer within window,0,PASS,Nudge #2 ignored by customer,ENGAGEMENT_STARTED
pay_3e9XrwPGzR1Iv8,2026-08-26 18:15:00,MOCK_PAYMENT_ATTEMPT,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Automated retry triggered (final attempt),1,PASS,Automated system retry failed. Retry limit reached.,ENGAGEMENT_STARTED
pay_3e9XrwPGzR1Iv8,2026-08-27 12:00:00,OUTBOUND_NUDGE_3,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Sent nudge #3 (Polite English),1,PASS,AI Decision: Mock mode follow-up. Customer responding to timeout. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_3e9XrwPGzR1Iv8,2026-08-27 13:00:00,NO_RESPONSE,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",No reply detected from customer within window,1,PASS,Nudge #3 ignored by customer,ENGAGEMENT_STARTED
pay_3e9XrwPGzR1Iv8,2026-08-28 13:00:00,MOCK_PAYMENT_ATTEMPT,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Automated retry triggered (final attempt),2,PASS,Automated system retry failed. Retry limit reached.,ENGAGEMENT_STARTED
pay_3e9XrwPGzR1Iv8,2026-08-28 13:00:00,EXHAUSTED,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Loop safety limit reached,2,PASS,Max communication cycle reached without customer payment.,EXHAUSTED
pay_mxBe8Q6vNuQ2hU,2026-08-20 19:20:00,INGESTION,INSUFFICIENT_FUNDS,Cause: Customer's bank account has insufficient balance. | Plan: Wait for salary/funding (or schedule retry in 48h) + offer instant UPI payment link.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_mxBe8Q6vNuQ2hU,2026-08-21 14:00:00,OUTBOUND_NUDGE_1,INSUFFICIENT_FUNDS,Cause: Customer's bank account has insufficient balance. | Plan: Wait for salary/funding (or schedule retry in 48h) + offer instant UPI payment link.,Sent nudge #1 (Professional English),0,PASS,AI Decision: Balance issue detected. Professional English outreach notifying customer of auto-debit failure with multi-method payment link. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_mxBe8Q6vNuQ2hU,2026-08-21 15:41:00,MOCK_PAYMENT_ATTEMPT,INSUFFICIENT_FUNDS,Cause: Customer's bank account has insufficient balance. | Plan: Wait for salary/funding (or schedule retry in 48h) + offer instant UPI payment link.,Processed payment authorization via link,1,PASS,Customer clicked payment link and authorized transaction. Success.,RECOVERED
pay_DCCRnGEY59YVkQ,2026-08-13 12:09:00,INGESTION,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_DCCRnGEY59YVkQ,2026-08-13 15:09:00,OUTBOUND_NUDGE_1,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Sent nudge #1 (Professional English),0,PASS,AI Decision: Hard failure. Card is expired. Informing customer directly in professional English to securely link their new card. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_DCCRnGEY59YVkQ,2026-08-13 15:44:00,CUSTOMER_REPLY,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Customer replied: 'Stop messages / Unsubscribe',0,PASS,User revoked consent. Immediate stop rule active.,ESCALATED
pay_PSa5W3X4gXBolZ,2026-08-16 16:16:00,INGESTION,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_PSa5W3X4gXBolZ,2026-08-17 14:00:00,OUTBOUND_NUDGE_1,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,Sent nudge #1 (Professional English),0,PASS,AI Decision: Customer dropped off at checkout. Friendly cart recovery reminder in professional English. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_PSa5W3X4gXBolZ,2026-08-17 14:43:00,NO_RESPONSE,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,No reply detected from customer within window,0,PASS,Nudge #1 ignored by customer,ENGAGEMENT_STARTED
pay_PSa5W3X4gXBolZ,2026-08-17 16:43:00,OUTBOUND_NUDGE_2,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,Sent nudge #2 (Polite English),0,PASS,AI Decision: Mock mode follow-up. Customer responding to abandoned checkout. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_PSa5W3X4gXBolZ,2026-08-17 17:27:00,NO_RESPONSE,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,No reply detected from customer within window,0,PASS,Nudge #2 ignored by customer,ENGAGEMENT_STARTED
pay_PSa5W3X4gXBolZ,2026-08-18 17:27:00,MOCK_PAYMENT_ATTEMPT,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,Automated retry triggered (final attempt),1,PASS,Automated system retry failed. Retry limit reached.,ENGAGEMENT_STARTED
pay_PSa5W3X4gXBolZ,2026-08-19 12:00:00,OUTBOUND_NUDGE_3,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,Sent nudge #3 (Polite English),1,PASS,AI Decision: Mock mode follow-up. Customer responding to abandoned checkout. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_PSa5W3X4gXBolZ,2026-08-19 12:28:00,MOCK_PAYMENT_ATTEMPT,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,Processed payment authorization via link,2,PASS,Customer clicked payment link and authorized transaction. Success.,RECOVERED
pay_Wp1OrXXHFOprCe,2026-08-13 16:00:00,INGESTION,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_Wp1OrXXHFOprCe,2026-08-14 12:00:00,OUTBOUND_NUDGE_1,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Sent nudge #1 (Professional English),0,PASS,AI Decision: Bank decline. Informing customer in professional English and offering an alternate payment retry link. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_Wp1OrXXHFOprCe,2026-08-14 12:42:00,CUSTOMER_REPLY,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Customer promised to pay on 2026-08-16,0,PASS,Customer promised payment on salary day. Paused retries and rescheduled.,PROMISE_TO_PAY
pay_Wp1OrXXHFOprCe,2026-08-16 21:42:00,MOCK_PAYMENT_ATTEMPT,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Retried payment execution on promised date,1,PASS,Scheduled Promise-to-Pay retry executed. Failed.,ENGAGEMENT_STARTED
pay_Wp1OrXXHFOprCe,2026-08-18 12:00:00,OUTBOUND_NUDGE_2,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Sent nudge #2 (Helpful Hinglish),1,PASS,AI Decision: Mock mode follow-up. Customer responding to bank decline issue. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_Wp1OrXXHFOprCe,2026-08-18 12:32:00,CUSTOMER_REPLY,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Customer replied: 'Stop messages / Unsubscribe',1,PASS,User revoked consent. Immediate stop rule active.,ESCALATED
pay_8wtWy2591AIVVI,2026-08-15 11:03:00,INGESTION,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_8wtWy2591AIVVI,2026-08-15 17:03:00,OUTBOUND_NUDGE_1,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Sent nudge #1 (Professional English),0,PASS,AI Decision: Bank decline. Informing customer in professional English and offering an alternate payment retry link. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_8wtWy2591AIVVI,2026-08-15 18:26:00,CUSTOMER_REPLY,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Customer replied: 'Stop messages / Unsubscribe',0,PASS,User revoked consent. Immediate stop rule active.,ESCALATED
pay_qyunDuvW4yrW81,2026-08-07 16:44:00,INGESTION,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_qyunDuvW4yrW81,2026-08-08 13:00:00,OUTBOUND_NUDGE_1,BANK_DECLINE_RISK,"Cause: Bank network flagged transaction as high risk or temporarily blocked recurring debits. | Plan: Wait 24h cooling-off period, attempt 1 automated retry, then escalate if failed again.",Sent nudge #1 (Professional English),0,PASS,AI Decision: Bank decline. Informing customer in professional English and offering an alternate payment retry link. [Mock LLM Mode],ENGAGEMENT_STARTED
